zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
601,18.180039999999998,-66.75218000000001,Adjuntas,PR,Puerto Rico,1,,17242,111.4,72001,Adjuntas,"{'72001': 99.43, '72141': 0.57}",Adjuntas|Utuado,72001|72141,False,0,America/Puerto_Rico
602,18.36073,-67.17517,Aguada,PR,Puerto Rico,1,,38442,523.5,72003,Aguada,{'72003': 100},Aguada,72003,False,0,America/Puerto_Rico
603,18.45439,-67.12201999999999,Aguadilla,PR,Puerto Rico,1,,48814,667.9,72005,Aguadilla,{'72005': 100},Aguadilla,72005,False,0,America/Puerto_Rico
606,18.16724,-66.93828,Maricao,PR,Puerto Rico,1,,6437,60.4,72093,Maricao,"{'72093': 94.88, '72121': 1.35, '72153': 3.78}",Maricao|Yauco|Sabana Grande,72093|72153|72121,False,0,America/Puerto_Rico
610,18.29032,-67.12243000000001,Anasco,PR,Puerto Rico,1,,27073,312.0,72011,Añasco,"{'72003': 0.55, '72011': 99.45}",Añasco|Aguada,72011|72003,False,0,America/Puerto_Rico
612,18.40699,-66.70803000000001,Arecibo,PR,Puerto Rico,1,,60303,382.8,72013,Arecibo,"{'72013': 99.89, '72017': 0.11}",Arecibo|Barceloneta,72013|72017,False,0,America/Puerto_Rico
616,18.41753,-66.66814000000001,Bajadero,PR,Puerto Rico,1,,10765,368.9,72013,Arecibo,{'72013': 100},Arecibo,72013,False,0,America/Puerto_Rico
617,18.44124,-66.55917,Barceloneta,PR,Puerto Rico,1,,23974,625.0,72017,Barceloneta,"{'72017': 99.43, '72054': 0.57}",Barceloneta|Florida,72017|72054,False,0,America/Puerto_Rico
622,17.99174,-67.15248000000001,Boqueron,PR,Puerto Rico,1,,6578,104.6,72023,Cabo Rojo,{'72023': 100},Cabo Rojo,72023,False,0,America/Puerto_Rico
623,18.08355,-67.15417,Cabo Rojo,PR,Puerto Rico,1,,42427,437.8,72023,Cabo Rojo,{'72023': 100},Cabo Rojo,72023,False,0,America/Puerto_Rico
624,18.06465,-66.71823,Penuelas,PR,Puerto Rico,1,,22707,234.7,72111,Peñuelas,"{'72111': 92.53, '72113': 7.47}",Peñuelas|Ponce,72111|72113,False,0,America/Puerto_Rico
627,18.419,-66.86033,Camuy,PR,Puerto Rico,1,,32222,292.8,72027,Camuy,{'72027': 100},Camuy,72027,False,0,America/Puerto_Rico
631,18.18555,-66.83327,Castaner,PR,Puerto Rico,1,,1568,177.8,72081,Lares,"{'72001': 32.99, '72081': 67.01}",Lares|Adjuntas,72081|72001,False,0,America/Puerto_Rico
637,18.07982,-66.94274,Sabana Grande,PR,Puerto Rico,1,,22975,283.4,72121,Sabana Grande,"{'72121': 99.56, '72153': 0.44}",Sabana Grande|Yauco,72121|72153,False,0,America/Puerto_Rico
638,18.28904,-66.5151,Ciales,PR,Puerto Rico,1,,16701,110.7,72039,Ciales,"{'72039': 98.27, '72091': 1.73}",Ciales|Manatí,72039|72091,False,0,America/Puerto_Rico
641,18.26408,-66.71376,Utuado,PR,Puerto Rico,1,,27571,128.8,72141,Utuado,"{'72001': 0.21, '72141': 99.79}",Utuado|Adjuntas,72141|72001,False,0,America/Puerto_Rico
646,18.43401,-66.2833,Dorado,PR,Puerto Rico,1,,37494,711.6,72051,Dorado,"{'72051': 99.89, '72143': 0.11}",Dorado|Vega Alta,72051|72143,False,0,America/Puerto_Rico
647,17.96612,-66.94383,Ensenada,PR,Puerto Rico,1,,5643,156.7,72055,Guánica,"{'72055': 98.88, '72079': 1.12}",Guánica|Lajas,72055|72079,False,0,America/Puerto_Rico
650,18.34321,-66.58601,Florida,PR,Puerto Rico,1,,14760,189.7,72054,Florida,"{'72013': 1.51, '72017': 1.91, '72039': 1.13, '72054': 83.61, '72141': 11.84}",Florida|Utuado|Barceloneta|Arecibo|Ciales,72054|72141|72017|72013|72039,False,0,America/Puerto_Rico
652,18.45542,-66.60635,Garrochales,PR,Puerto Rico,1,,3697,263.2,72013,Arecibo,{'72013': 100},Arecibo,72013,False,0,America/Puerto_Rico
653,17.98574,-66.89033,Guanica,PR,Puerto Rico,1,,11140,337.1,72055,Guánica,{'72055': 100},Guánica,72055,False,0,America/Puerto_Rico
656,18.0528,-66.79182,Guayanilla,PR,Puerto Rico,1,,18979,255.9,72059,Guayanilla,{'72059': 100},Guayanilla,72059,False,0,America/Puerto_Rico
659,18.41069,-66.79648,Hatillo,PR,Puerto Rico,1,,40390,387.7,72065,Hatillo,{'72065': 100},Hatillo,72065,False,0,America/Puerto_Rico
